"placeLabel","toponyms","typeLabel","geometry","cornuData"
"الصغانيان","الصغانيان","regions","POINT (67.89454000000001 38.26337)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Ṣaġāniyān', 'cornu_URI': 'SAGHANIYAN_678E382N_R', 'toponym_arabic': 'الصغانيان', 'top_type_orig': 'territoire', 'toponym_buckwalter': 'al-Saghaniyan', 'toponym_arabic_other': 'الصغانيان', 'toponym_translit': 'al-Ṣaġāniyān', 'coord_lat': '38.26337', 'toponym_search': 'al-Saghaniyan', 'region_code': 'Transoxiana', 'coord_lon': '67.89454', 'region_spelled': 'Mā-warāʾ-l-nahr (Transoxiana)', 'top_type_hom': 'regions'}"
"بكراباذ","بكراباذ، بكراواذ","towns","POINT (65.86183 31.59434)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Bakrābāḏ, Bakrāwāḏ', 'cornu_URI': 'BAKRABADH_658E315N_S', 'toponym_arabic': 'بكراباذ', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Bakrabadh, Bakrawadh', 'toponym_arabic_other': 'بكراباذ، بكراواذ', 'toponym_translit': 'Bakrābāḏ', 'coord_lat': '31.59434', 'toponym_search': 'Bakrabadh, Bakrawadh', 'region_code': 'Sijistan', 'coord_lon': '65.86183', 'region_spelled': 'Sijistān (Sīstān)', 'top_type_hom': 'towns'}"
"خيسار","خيسار","towns","POINT (62.58466 34.27292)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ḫaysār', 'cornu_URI': 'KHAYSAR_625E342N_S', 'toponym_arabic': 'خيسار', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Khaysar', 'toponym_arabic_other': 'خيسار', 'toponym_translit': 'Ḫaysār', 'coord_lat': '34.27292', 'toponym_search': 'Khaysar', 'region_code': 'Khurasan', 'coord_lon': '62.58466', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'towns'}"
"درواذ","درواذ","waystations","POINT (50.19954 35.00944)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Darwāḏ', 'cornu_URI': 'DARWADH_501E350N_S', 'toponym_arabic': 'درواذ', 'top_type_orig': 'etape', 'toponym_buckwalter': 'Darwadh', 'toponym_arabic_other': 'درواذ', 'toponym_translit': 'Darwāḏ', 'coord_lat': '35.00944', 'toponym_search': 'Darwadh', 'region_code': 'Jibal', 'coord_lon': '50.19954', 'region_spelled': 'al-Jibāl', 'top_type_hom': 'waystations'}"
"ابار","ابار","towns","POINT (78.2144 28.46951)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Abār', 'cornu_URI': 'ABAR_782E284N_S', 'toponym_arabic': 'أبار', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Abar', 'toponym_arabic_other': 'أبار', 'toponym_translit': 'Abār', 'coord_lat': '28.46951', 'toponym_search': 'Abar', 'region_code': 'Sind', 'coord_lon': '78.21440', 'region_spelled': 'al-Sind', 'top_type_hom': 'towns'}"
"الخطى","الخطى","waystations","POINT (40.70599 31.64853)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Ḫaṭṭá', 'cornu_URI': 'KHATTA_407E316N_S', 'toponym_arabic': 'الخطى', 'top_type_orig': 'etape', 'toponym_buckwalter': 'al-Khatta', 'toponym_arabic_other': 'الخطى', 'toponym_translit': 'al-Ḫaṭṭá', 'coord_lat': '31.64853', 'toponym_search': 'al-Khatta', 'region_code': 'Badiyat al-Arab', 'coord_lon': '40.70599', 'region_spelled': 'Badiyyaŧ al-ʿarab', 'top_type_hom': 'waystations'}"
"سنباذة","سنباذة","towns","POINT (30.47267 31.19071)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Sanbāḏaŧ', 'cornu_URI': 'SANBADHA_304E311N_S', 'toponym_arabic': 'سنباذة', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Sanbadha', 'toponym_arabic_other': 'سنباذة', 'toponym_translit': 'Sanbāḏaŧ', 'coord_lat': '31.19071', 'toponym_search': 'Sanbadha', 'region_code': 'Egypt', 'coord_lon': '30.47267', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'towns'}"
"فيشة","فيشة","villages","POINT (30.49999 31.13129)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Fīšaŧ', 'cornu_URI': 'FISHA_304E311N_S', 'toponym_arabic': 'فيشة', 'top_type_orig': 'village', 'toponym_buckwalter': 'Fisha', 'toponym_arabic_other': 'فيشة', 'toponym_translit': 'Fīšaŧ', 'coord_lat': '31.13129', 'toponym_search': 'Fisha', 'region_code': 'Egypt', 'coord_lon': '30.49999', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'villages'}"
"قلقاطوس","قلقاطوس","villages","POINT (46.6459 40.20714)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Qalqāṭūs', 'cornu_URI': 'QALQATUS_466E402N_S', 'toponym_arabic': 'قلقاطوس', 'top_type_orig': 'localite', 'toponym_buckwalter': 'Qalqatus', 'toponym_arabic_other': 'قلقاطوس', 'toponym_translit': 'Qalqāṭūs', 'coord_lat': '40.20714', 'toponym_search': 'Qalqatus', 'region_code': 'Rihab', 'coord_lon': '46.64590', 'region_spelled': 'al-Riḥāb (Caucasus)', 'top_type_hom': 'villages'}"
"ملازكرد","ملازكرد، ملازجرد، منازجرد","towns","POINT (42.55713 39.1437)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Malāzkird, Malāzǧird, Manāzǧird', 'cornu_URI': 'MALAZKIRD_425E391N_S', 'toponym_arabic': 'ملازكرد', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Malazkird, Malazjird, Manazjird', 'toponym_arabic_other': 'ملازكرد، ملازجرد، منازجرد', 'toponym_translit': 'Malāzkird', 'coord_lat': '39.14370', 'toponym_search': 'Malazkird, Malazjird, Manazjird', 'region_code': 'Rihab', 'coord_lon': '42.55713', 'region_spelled': 'al-Riḥāb (Caucasus)', 'top_type_hom': 'towns'}"
"اوذ","اوذ","waystations","POINT (49.25084 35.59348)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ūḏ', 'cornu_URI': 'UDH_492E355N_S', 'toponym_arabic': 'أوذ', 'top_type_orig': 'etape', 'toponym_buckwalter': 'Udh', 'toponym_arabic_other': 'أوذ', 'toponym_translit': 'Ūḏ', 'coord_lat': '35.59348', 'toponym_search': 'Udh', 'region_code': 'Jibal', 'coord_lon': '49.25084', 'region_spelled': 'al-Jibāl', 'top_type_hom': 'waystations'}"
"تبوك","تبوك","towns","POINT (36.5062 28.37114)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Tabūk', 'cornu_URI': 'TABUK_365E283N_S', 'toponym_arabic': 'تبوك', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Tabuk', 'toponym_arabic_other': 'تبوك', 'toponym_translit': 'Tabūk', 'coord_lat': '28.37114', 'toponym_search': 'Tabuk', 'region_code': 'Badiyat al-Arab', 'coord_lon': '36.50620', 'region_spelled': 'Badiyyaŧ al-ʿarab', 'top_type_hom': 'towns'}"
"سميرم","سميرم","waystations","POINT (51.81266 31.35567)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Sumayram', 'cornu_URI': 'SUMAYRAM_518E313N_S', 'toponym_arabic': 'سميرم', 'top_type_orig': 'etape', 'toponym_buckwalter': 'Sumayram', 'toponym_arabic_other': 'سميرم', 'toponym_translit': 'Sumayram', 'coord_lat': '31.35567', 'toponym_search': 'Sumayram', 'region_code': 'Faris', 'coord_lon': '51.81266', 'region_spelled': 'Fārs(or Fāris)', 'top_type_hom': 'waystations'}"
"حماة","حماة","towns","POINT (36.76872 35.12587)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ḥamāŧ', 'cornu_URI': 'HAMA_367E351N_S', 'toponym_arabic': 'حماة', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Hama', 'toponym_arabic_other': 'حماة', 'toponym_translit': 'Ḥamāŧ', 'coord_lat': '35.12587', 'toponym_search': 'Hama', 'region_code': 'Sham', 'coord_lon': '36.76872', 'region_spelled': 'al-Šām (Greater Syria)', 'top_type_hom': 'towns'}"
"الرها","الرها","towns","POINT (38.82122 37.1497)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Ruhā', 'cornu_URI': 'RUHA_388E371N_S', 'toponym_arabic': 'الرها', 'top_type_orig': 'cite', 'toponym_buckwalter': 'al-Ruha', 'toponym_arabic_other': 'الرها', 'toponym_translit': 'al-Ruhā', 'coord_lat': '37.14970', 'toponym_search': 'al-Ruha', 'region_code': 'Aqur', 'coord_lon': '38.82122', 'region_spelled': 'Aqūr (al-Jazīraŧ)', 'top_type_hom': 'towns'}"
"الفرضة","الفرضة","villages","POINT (40.78158 34.679)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Furḍaŧ', 'cornu_URI': 'FURDA_407E346N_S', 'toponym_arabic': 'الفرضة', 'top_type_orig': 'localite', 'toponym_buckwalter': 'al-Furda', 'toponym_arabic_other': 'الفرضة', 'toponym_translit': 'al-Furḍaŧ', 'coord_lat': '34.67900', 'toponym_search': 'al-Furda', 'region_code': 'Aqur', 'coord_lon': '40.78158', 'region_spelled': 'Aqūr (al-Jazīraŧ)', 'top_type_hom': 'villages'}"
"منداس","منداس","towns","POINT (0.8273 35.67814)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Mindās', 'cornu_URI': 'MINDAS_008E356N_S', 'toponym_arabic': 'منداس', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Mindas', 'toponym_arabic_other': 'منداس', 'toponym_translit': 'Mindās', 'coord_lat': '35.67814', 'toponym_search': 'Mindas', 'region_code': 'Maghrib', 'coord_lon': '0.82730', 'region_spelled': 'al-Maġrib', 'top_type_hom': 'towns'}"
"نهر كوثى","نهر كوثى","waters","POINT (44.72053 32.7443)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Nahr Kūṯá', 'cornu_URI': 'NAHRKUTHA_447E327N_W', 'toponym_arabic': 'نهر كوثى', 'top_type_orig': 'canal', 'toponym_buckwalter': 'Nahr Kutha', 'toponym_arabic_other': 'نهر كوثى', 'toponym_translit': 'Nahr Kūṯá', 'coord_lat': '32.74430', 'toponym_search': 'Nahr Kutha', 'region_code': 'Iraq', 'coord_lon': '44.72053', 'region_spelled': 'al-ʿIrāq', 'top_type_hom': 'waters'}"
"موغان","موغان، موغكان، موقان","regions","POINT (48.50179 39.33548)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Mūġān, Mūġkān, Mūqān', 'cornu_URI': 'MUGHAN_485E393N_R', 'toponym_arabic': 'موغان', 'top_type_orig': 'region', 'toponym_buckwalter': 'Mughan, Mughkan, Muqan', 'toponym_arabic_other': 'موغان، موغكان، موقان', 'toponym_translit': 'Mūġān', 'coord_lat': '39.33548', 'toponym_search': 'Mughan, Mughkan, Muqan', 'region_code': 'Rihab', 'coord_lon': '48.50179', 'region_spelled': 'al-Riḥāb (Caucasus)', 'top_type_hom': 'regions'}"
"ميلا","ميلا","towns","POINT (6.2883 36.42482)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Mīlā', 'cornu_URI': 'MILA_062E364N_S', 'toponym_arabic': 'ميلا', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Mila', 'toponym_arabic_other': 'ميلا', 'toponym_translit': 'Mīlā', 'coord_lat': '36.42482', 'toponym_search': 'Mila', 'region_code': 'Maghrib', 'coord_lon': '6.28830', 'region_spelled': 'al-Maġrib', 'top_type_hom': 'towns'}"
"طمي","طمي","regions","POINT (31.51063 30.94376)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ṭumayy', 'cornu_URI': 'TUMAYY_315E309N_R', 'toponym_arabic': 'طمي', 'top_type_orig': 'district', 'toponym_buckwalter': 'Tumayy', 'toponym_arabic_other': 'طمي', 'toponym_translit': 'Ṭumayy', 'coord_lat': '30.94376', 'toponym_search': 'Tumayy', 'region_code': 'Egypt', 'coord_lon': '31.51063', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'regions'}"
"اتريب","اتريب","regions","POINT (31.17223 30.45947)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Atrīb', 'cornu_URI': 'ATRIB_311E304N_R', 'toponym_arabic': 'أتريب', 'top_type_orig': 'district', 'toponym_buckwalter': 'Atrib', 'toponym_arabic_other': 'أتريب', 'toponym_translit': 'Atrīb', 'coord_lat': '30.45947', 'toponym_search': 'Atrib', 'region_code': 'Egypt', 'coord_lon': '31.17223', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'regions'}"
"رحا","رحا، اريحا","towns","POINT (35.43774 31.86043)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Riḥā, Arīḥā', 'cornu_URI': 'RIHA_354E318N_S', 'toponym_arabic': 'رحا', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Riha, Ariha', 'toponym_arabic_other': 'رحا، أريحا', 'toponym_translit': 'Riḥā', 'coord_lat': '31.86043', 'toponym_search': 'Riha, Ariha', 'region_code': 'Sham', 'coord_lon': '35.43774', 'region_spelled': 'al-Šām (Greater Syria)', 'top_type_hom': 'towns'}"
"كشميهن","كشميهن، كشماهن","towns","POINT (62.59986 37.78994)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Kušmayhan, Kušmāhan', 'cornu_URI': 'KUSHMAYHAN_625E377N_S', 'toponym_arabic': 'كشميهن', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Kushmayhan, Kushmahan', 'toponym_arabic_other': 'كشميهن، كشماهن', 'toponym_translit': 'Kušmayhan', 'coord_lat': '37.78994', 'toponym_search': 'Kushmayhan, Kushmahan', 'region_code': 'Khurasan', 'coord_lon': '62.59986', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'towns'}"
"العقبة","العقبة","waystations","POINT (43.61471 30.09074)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-ʿAqabaŧ', 'cornu_URI': 'AQABA_436E300N_S', 'toponym_arabic': 'العقبة', 'top_type_orig': 'etape', 'toponym_buckwalter': 'al-Aqaba', 'toponym_arabic_other': 'العقبة', 'toponym_translit': 'al-ʿAqabaŧ', 'coord_lat': '30.09074', 'toponym_search': 'al-Aqaba', 'region_code': 'Badiyat al-Arab', 'coord_lon': '43.61471', 'region_spelled': 'Badiyyaŧ al-ʿarab', 'top_type_hom': 'waystations'}"
"شلجي","شلجي","towns","POINT (71.66128999999999 42.59356)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Šalǧī', 'cornu_URI': 'SHALJI_716E425N_S', 'toponym_arabic': 'شلجي', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Shalji', 'toponym_arabic_other': 'شلجي', 'toponym_translit': 'Šalǧī', 'coord_lat': '42.59356', 'toponym_search': 'Shalji', 'region_code': 'Transoxiana', 'coord_lon': '71.66129', 'region_spelled': 'Mā-warāʾ-l-nahr (Transoxiana)', 'top_type_hom': 'towns'}"
"مجدل سليم","مجدل سليم","villages","POINT (35.43299 33.22604)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Maǧdal Salīm', 'cornu_URI': 'MAJDALSALIM_354E332N_S', 'toponym_arabic': 'مجدل سليم', 'top_type_orig': 'localite', 'toponym_buckwalter': 'Majdal Salim', 'toponym_arabic_other': 'مجدل سليم', 'toponym_translit': 'Maǧdal Salīm', 'coord_lat': '33.22604', 'toponym_search': 'Majdal Salim', 'region_code': 'Sham', 'coord_lon': '35.43299', 'region_spelled': 'al-Šām (Greater Syria)', 'top_type_hom': 'villages'}"
"فركرد","فركرد","towns","POINT (61.08287 34.27729)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Farkird', 'cornu_URI': 'FARKIRD_610E342N_S', 'toponym_arabic': 'فركرد', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Farkird', 'toponym_arabic_other': 'فركرد', 'toponym_translit': 'Farkird', 'coord_lat': '34.27729', 'toponym_search': 'Farkird', 'region_code': 'Khurasan', 'coord_lon': '61.08287', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'towns'}"
"همذان","همذان","regions","POINT (48.57908 34.77554)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Hamaḏān', 'cornu_URI': 'HAMADHAN_485E347N_R', 'toponym_arabic': 'همذان', 'top_type_orig': 'region', 'toponym_buckwalter': 'Hamadhan', 'toponym_arabic_other': 'همذان', 'toponym_translit': 'Hamaḏān', 'coord_lat': '34.77554', 'toponym_search': 'Hamadhan', 'region_code': 'Jibal', 'coord_lon': '48.57908', 'region_spelled': 'al-Jibāl', 'top_type_hom': 'regions'}"
"معادن الزمرذ","معادن الزمرذ","sites","POINT (33.89324 25.07556)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Maʿādin al-Zumurruḏ', 'cornu_URI': 'MAADINZUMURRUDH_338E250N_O', 'toponym_arabic': 'معادن الزمرذ', 'top_type_orig': 'mines', 'toponym_buckwalter': 'Maadin al-Zumurrudh', 'toponym_arabic_other': 'معادن الزمرذ', 'toponym_translit': 'Maʿādin al-Zumurruḏ', 'coord_lat': '25.07556', 'toponym_search': 'Maadin al-Zumurrudh', 'region_code': 'Egypt', 'coord_lon': '33.89324', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'sites'}"
"شورمين","شورمين","towns","POINT (63.51568 34.72729)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Šūrmīn', 'cornu_URI': 'SHURMIN_635E347N_S', 'toponym_arabic': 'شورمين', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Shurmin', 'toponym_arabic_other': 'شورمين', 'toponym_translit': 'Šūrmīn', 'coord_lat': '34.72729', 'toponym_search': 'Shurmin', 'region_code': 'Khurasan', 'coord_lon': '63.51568', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'towns'}"
"يبمبم","يبمبم، يبنبم","waystations","POINT (42.82847 18.87682)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Yabambam, Yabanbam', 'cornu_URI': 'YABAMBAM_428E188N_S', 'toponym_arabic': 'يبمبم', 'top_type_orig': 'etape', 'toponym_buckwalter': 'Yabambam, Yabanbam', 'toponym_arabic_other': 'يبمبم، يبنبم', 'toponym_translit': 'Yabambam', 'coord_lat': '18.87682', 'toponym_search': 'Yabambam, Yabanbam', 'region_code': 'Jazirat al-Arab', 'coord_lon': '42.82847', 'region_spelled': 'Jazīraŧ al-ʿarab', 'top_type_hom': 'waystations'}"
"كرك","كرك، جرج","towns","POINT (58.49109 28.88667)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Kurk, Ǧurǧ', 'cornu_URI': 'KURK_584E288N_S', 'toponym_arabic': 'كرك', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Kurk, Jurj', 'toponym_arabic_other': 'كرك، جرج', 'toponym_translit': 'Kurk', 'coord_lat': '28.88667', 'toponym_search': 'Kurk, Jurj', 'region_code': 'Kirman', 'coord_lon': '58.49109', 'region_spelled': 'Kirmān', 'top_type_hom': 'towns'}"
"الابيض","الابيض","waystations","POINT (42.45438 31.86163)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Abyaḍ', 'cornu_URI': 'ABYAD_424E318N_S', 'toponym_arabic': 'الأبيض', 'top_type_orig': 'etape', 'toponym_buckwalter': 'al-Abyad', 'toponym_arabic_other': 'الأبيض', 'toponym_translit': 'al-Abyaḍ', 'coord_lat': '31.86163', 'toponym_search': 'al-Abyad', 'region_code': 'Badiyat al-Arab', 'coord_lon': '42.45438', 'region_spelled': 'Badiyyaŧ al-ʿarab', 'top_type_hom': 'waystations'}"
"نجيرم","نجيرم","regions","POINT (51.12283 28.49687)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Naǧīram', 'cornu_URI': 'NAJIRAM_511E284N_R', 'toponym_arabic': 'نجيرم', 'top_type_orig': 'region', 'toponym_buckwalter': 'Najiram', 'toponym_arabic_other': 'نجيرم', 'toponym_translit': 'Naǧīram', 'coord_lat': '28.49687', 'toponym_search': 'Najiram', 'region_code': 'Faris', 'coord_lon': '51.12283', 'region_spelled': 'Fārs(or Fāris)', 'top_type_hom': 'regions'}"
"القرعون","القرعون","waystations","POINT (35.71229 33.57083)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Qarʿūn', 'cornu_URI': 'QARUN_357E335N_S', 'toponym_arabic': 'القرعون', 'top_type_orig': 'etape', 'toponym_buckwalter': 'al-Qarun', 'toponym_arabic_other': 'القرعون', 'toponym_translit': 'al-Qarʿūn', 'coord_lat': '33.57083', 'toponym_search': 'al-Qarun', 'region_code': 'Sham', 'coord_lon': '35.71229', 'region_spelled': 'al-Šām (Greater Syria)', 'top_type_hom': 'waystations'}"
"حمض","حمض","waystations","POINT (50.65214 24.74231)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ḥamaḍ', 'cornu_URI': 'HAMAD_506E247N_S', 'toponym_arabic': 'حمض', 'top_type_orig': 'etape', 'toponym_buckwalter': 'Hamad', 'toponym_arabic_other': 'حمض', 'toponym_translit': 'Ḥamaḍ', 'coord_lat': '24.74231', 'toponym_search': 'Hamad', 'region_code': 'Jazirat al-Arab', 'coord_lon': '50.65214', 'region_spelled': 'Jazīraŧ al-ʿarab', 'top_type_hom': 'waystations'}"
"غلافقة","غلافقة","towns","POINT (43.03243 14.44273)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ġalāfiqaŧ', 'cornu_URI': 'GHALAFIQA_430E144N_S', 'toponym_arabic': 'غلافقة', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Ghalafiqa', 'toponym_arabic_other': 'غلافقة', 'toponym_translit': 'Ġalāfiqaŧ', 'coord_lat': '14.44273', 'toponym_search': 'Ghalafiqa', 'region_code': 'Yemen', 'coord_lon': '43.03243', 'region_spelled': 'al-Yaman', 'top_type_hom': 'towns'}"
"بصرى","بصرى","towns","POINT (36.43071 32.51503)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Buṣrá', 'cornu_URI': 'BUSRA_364E325N_S', 'toponym_arabic': 'بصرى', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Busra', 'toponym_arabic_other': 'بصرى', 'toponym_translit': 'Buṣrá', 'coord_lat': '32.51503', 'toponym_search': 'Busra', 'region_code': 'Sham', 'coord_lon': '36.43071', 'region_spelled': 'al-Šām (Greater Syria)', 'top_type_hom': 'towns'}"
"دمنهور","دمنهور","towns","POINT (30.45872 31.03855)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Damanhūr', 'cornu_URI': 'DAMANHUR_304E310N_S', 'toponym_arabic': 'دمنهور', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Damanhur', 'toponym_arabic_other': 'دمنهور', 'toponym_translit': 'Damanhūr', 'coord_lat': '31.03855', 'toponym_search': 'Damanhur', 'region_code': 'Egypt', 'coord_lon': '30.45872', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'towns'}"
"ترقالة","ترقالة","capitals","POINT (-8.8413 30.50052)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Tarqālaŧ', 'cornu_URI': 'TARQALA_088W305N_S', 'toponym_arabic': 'ترقالة', 'top_type_orig': 'capitale', 'toponym_buckwalter': 'Tarqala', 'toponym_arabic_other': 'ترقالة', 'toponym_translit': 'Tarqālaŧ', 'coord_lat': '30.50052', 'toponym_search': 'Tarqala', 'region_code': 'Maghrib', 'coord_lon': '-8.84130', 'region_spelled': 'al-Maġrib', 'top_type_hom': 'capitals'}"
"سابزوار","سابزوار","towns","POINT (57.66932 36.15624)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Sābzawār', 'cornu_URI': 'SABZAWAR_576E361N_S', 'toponym_arabic': 'سابزوار', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Sabzawar', 'toponym_arabic_other': 'سابزوار', 'toponym_translit': 'Sābzawār', 'coord_lat': '36.15624', 'toponym_search': 'Sabzawar', 'region_code': 'Khurasan', 'coord_lon': '57.66932', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'towns'}"
"طزرة","طزرة","waystations","POINT (49.39342 35.12165)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ṭazraŧ', 'cornu_URI': 'TAZRA_493E351N_S', 'toponym_arabic': 'طزرة', 'top_type_orig': 'etape', 'toponym_buckwalter': 'Tazra', 'toponym_arabic_other': 'طزرة', 'toponym_translit': 'Ṭazraŧ', 'coord_lat': '35.12165', 'toponym_search': 'Tazra', 'region_code': 'Jibal', 'coord_lon': '49.39342', 'region_spelled': 'al-Jibāl', 'top_type_hom': 'waystations'}"
"طلقان","طلقان","towns","POINT (64.24579 35.72328)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ṭalaqān', 'cornu_URI': 'TALAQAN_642E357N_S', 'toponym_arabic': 'طلقان', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Talaqan', 'toponym_arabic_other': 'طلقان', 'toponym_translit': 'Ṭalaqān', 'coord_lat': '35.72328', 'toponym_search': 'Talaqan', 'region_code': 'Khurasan', 'coord_lon': '64.24579', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'towns'}"
"نزوة","نزوة","towns","POINT (57.52541 22.86309)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Nazwaŧ', 'cornu_URI': 'NAZWA_575E228N_S', 'toponym_arabic': 'نزوة', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Nazwa', 'toponym_arabic_other': 'نزوة', 'toponym_translit': 'Nazwaŧ', 'coord_lat': '22.86309', 'toponym_search': 'Nazwa', 'region_code': 'Jazirat al-Arab', 'coord_lon': '57.52541', 'region_spelled': 'Jazīraŧ al-ʿarab', 'top_type_hom': 'towns'}"
"ريقان","ريقان، ريكان","towns","POINT (58.73846 28.65133)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Rīqān, Rīkān', 'cornu_URI': 'RIQAN_587E286N_S', 'toponym_arabic': 'ريقان', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Riqan, Rikan', 'toponym_arabic_other': 'ريقان، ريكان', 'toponym_translit': 'Rīqān', 'coord_lat': '28.65133', 'toponym_search': 'Riqan, Rikan', 'region_code': 'Kirman', 'coord_lon': '58.73846', 'region_spelled': 'Kirmān', 'top_type_hom': 'towns'}"
"سرت","سرت","towns","POINT (16.60839 31.09917)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Surt', 'cornu_URI': 'SURT_166E310N_S', 'toponym_arabic': 'سرت', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Surt', 'toponym_arabic_other': 'سرت', 'toponym_translit': 'Surt', 'coord_lat': '31.09917', 'toponym_search': 'Surt', 'region_code': 'Barqa', 'coord_lon': '16.60839', 'region_spelled': 'Barqaŧ (Lybia)', 'top_type_hom': 'towns'}"
"اردخيوه","اردخيوه","towns","POINT (60.25053 42.19314)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ardaḫīwah', 'cornu_URI': 'ARDAKHIWAH_602E421N_S', 'toponym_arabic': 'أردخيوه', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Ardakhiwah', 'toponym_arabic_other': 'أردخيوه', 'toponym_translit': 'Ardaḫīwah', 'coord_lat': '42.19314', 'toponym_search': 'Ardakhiwah', 'region_code': 'Transoxiana', 'coord_lon': '60.25053', 'region_spelled': 'Mā-warāʾ-l-nahr (Transoxiana)', 'top_type_hom': 'towns'}"
