"tokens","lemmas","ne_labels","pos"
"عنده","عِنْد","O","noun"
"ب+_قراءته","قِراءَة","O","noun"
"و+_قراءة","قِراءَة","O","noun"
"غيره","غَيْر","O","noun"
"في","فِي","O","prep"
"الفقه","فِقْه","O","noun"
"و+_أصوله","أَصْل","O","noun"
"و+_العربية","عَرَبِيّ","O","adj"
"و+_العقائد","عَقِيدَة","O","noun"
"و+_غير","غَيْر","O","noun"
"ذلك","ذٰلِكَ","O","pron_dem"
".",".","O","punc"
"أثنى","أَثْنَى","O","verb"
"عليه","عَلَى","O","prep"
"شيخنا","شَيْخ","O","noun"
"في","فِي","O","prep"
"ترجمة","تَرْجَمَة","O","noun"
"أبيه","أَب","O","noun"
"من","مِن","O","prep"
"درره","دِرَّة","O","noun"
"ب+_قوله","قَوْل","O","noun"
":",":","O","punc"
"كان","كان","O","verb"
"حسن","حَسَن","O","noun_prop"
"المعرفة","مَعْرِفَة","O","noun"
"ب+_الأمور","أَمْر","O","noun"
"خبير","خَبِير","O","noun"
"إ","إِ","O","abbrev"
"ب+_عشرة","عَشَرَة","O","noun"
"أهل","أَهْل","O","noun"
"الدولة","دَوْلَة","O","noun"
"و+_غيرهم","غَيْر","O","noun"
"قوى","قُوَّة","O","noun"
"الرأي","رَأْي","O","noun"
"مسعود","مَسعُود","O","noun_prop"
"الحركات","حَرَكَة","O","noun"
"بل","بَل","O","conj"
"أستخلفه","ٱِسْتَخْلَف","O","verb"
"في","فِي","O","prep"
"قضاء","قَضاء","O","noun"
"الديار","دار","O","noun"
"المصرية","مِصْرِيّ","O","adj"
"سنة","سَنَة","O","noun"
"أمد","أَمْبِير","O","noun"
"ف+_نظر","نَظَر","O","noun"
"في","فِي","O","prep"
"الأمور","أَمْر","O","noun"
"ب+_سياسة","سِياسَة","O","noun"
"و+_حسن","حَسَن","O","noun_prop"
"تدبير","تَدْبِير","O","noun"
"و+_كذا","كَذا","O","conj"
"أسند","أَسْنَد","O","verb"
"إليه","إِلَى","O","prep"
"المشارفة","مُشارَفَة","O","noun"
"فيما","ما","O","conj_sub"
"أوصى","أَوْصَى","O","verb"
"ب+_تفرقته","تَفْرِقَة","O","noun"
"من","مِن","O","prep"
"الثلث","ثُلْث","O","noun"
"بعد","بُعْد","O","noun"
"موته","مَوْت","O","noun"
"؛","؛","O","punc"
"و+_وصفه","وَصَف","O","verb"
"ب+_أخي","أَخ","O","noun"
"في","فِي","O","prep"
"االله","االله","B-MISC","noun_prop"
"تعالى","تَعالَى","O","verb"
"القاضي","قاضِي","B-PERS","noun"
"محب","مُحِبّ","I-PERS","noun"
"الدين","دِين","I-PERS","noun"
"ناظر","ناظِر","O","noun"
"الجيوش","جَيْش","O","noun"
"المنصورة","مَنْصُورَة","O","noun_prop"
"رزقه","رِزْق","O","noun"
"االله","االله","B-MISC","noun_prop"
"العفو","عَفْو","O","noun"
"و+_العافية","عافِيَة","O","noun"
"في","فِي","O","prep"
"الدنيا","دُنْيا","O","noun"
"و+_الآخرة","آخِرَة","O","noun"
"،","،","O","punc"
"و+_الثناء","ثَناء","O","noun"
"عليه","عَلَى","O","prep"
"مستفيض","مُسْتَفِيض","O","adj"
".",".","O","punc"
"و+_في","فِي","O","prep"
"ترجمته","تَرْجَم","O","verb"
"من","مِن","O","prep"
"تصنيفي","تَصْنِيف","O","noun"
"ذيل","ذَيْل","O","noun"
"القضاة","قاضِي","O","noun"
"و+_المعجم","مُعْجَم","O","noun"
"و+_الفوائد","فائِدَة","O","noun"
"زوائد","زوائد","O","noun_prop"
"؛","؛","O","punc"
"و+_قد","قَدْ","O","part_verb"
"اجتمعت","ٱِجْتَمَع","O","verb"
"به","بِ","O","prep"
"غير","غَيْر","O","noun"
"مرة","مَرَّة","O","noun"
"و+_سمعت","سَمِع","O","verb"
"عليه","عَلَى","O","prep"
"ختم","خَتَم","B-MISC","noun_prop"
"البخاري","بُخارِيّ","I-MISC","noun_prop"
"و+_كذا","كَذا","O","conj"
"سمع","سَمِع","O","verb"
"عليه","عَلَى","O","prep"
"غير","غَيْر","O","noun"
"واحد","واحِد","O","noun"
"و+_أكرم","أَكْرَم","O","noun_prop"
"في","فِي","O","prep"
"موطنين","مَوْطِن","B-LOC","noun_prop"
"شريفين","شَرِيف","I-LOC","noun_prop"
"القارئ","قارِئ","O","noun"
"بما","ما","O","pron_rel"
"لم","لَم","O","part_neg"
"يتفق","ٱِتَّفَق","O","verb"
"ل+_غيره","غَيْر","O","noun"
"ممن","مِن","O","prep"
"حضرهما","حَضَّر","O","verb"
"مع","مَع","O","prep"
"كونه","كَوْن","O","noun"
"أكرم","أَكْرَم","O","noun_prop"
"و+_أسمح","سَمَح","O","verb"
"و+_حمد","حَمْد","O","noun_prop"
"له","لِ","O","prep"
"هذا","هٰذا","O","pron_dem"
"و+_ذكر","ذَكَر","O","verb"
"في","فِي","O","prep"
"سعة","سَعَة","O","noun"
"عقله","عَقْل","O","noun"
"و+_تأمله","أَمَل","O","verb"
"،","،","O","punc"
"و+_قرآ","قَرَأ","O","verb"
"عليه","عَلَى","O","prep"
"الNOAN","بقاعي","B-PERS","noun_prop"
"الصحيح","صَحِيح","B-MISC","noun_prop"
"أو","أَو","O","conj"
"غالبه","غالِب","O","noun"
"بمترله","بمترله","O","noun_prop"
"قصد","قَصَد","O","verb"
"إ","إِ","O","abbrev"
"ل+_نائلة","نائِلَة","O","noun_prop"
"و+_بره","بَرّ","O","noun"
"و+_صار","صار","O","verb"
"يروم","رام","O","verb"
"منه","مِن","O","prep"
"المشي","مَشْي","O","noun"
"في","فِي","O","prep"
"خصوماته","خصوماته","O","noun_prop"
"و+_يلح","لاح","O","verb"
"على","عَلَى","O","prep"
"عادته","عادَة","O","noun"
"ب+_حيث","حَيْثُ","O","conj"
"أنه","أَنَّ","O","conj_sub"
"تكلم","تَكَلَّم","O","verb"
"معه","مَع","O","prep"
"في","فِي","O","prep"
"ب+_عضها","عَضّ","O","noun"
"و+_هما","هُما","O","pron"
"في","فِي","O","prep"
"جنازة","جِنازَة","O","noun"
"ف+_ما","ما","O","part_neg"
"أحتمل","ٱِحْتَمَل","O","verb"
"المحب","مُحِبّ","B-PERS","noun_prop"
"هذا","هٰذا","O","pron_dem"
"و+_قال","قال","O","verb"
"له","لِ","O","prep"
"يأل","أَلا","O","verb"
"أخي","أَخ","O","noun"
"و+_كم","كَم","O","pron_rel"
"أما","أَمّا","O","part_focus"
"تفتر","ٱِفْتَرَى","O","verb"
"و+_ترجع","رَجَع","O","verb"
"أن","أَنَّ","O","conj_sub"
"هذا","هٰذا","O","pron_dem"
"ل+_عجيب","عَجِيب","O","adj"
".",".","O","punc"
